States,Regions,latitude,longitude,Dates,Usage
West Bengal,ER,22.58039044,88.32994665,"19 May, 2019",151.5
West Bengal,ER,22.58039044,88.32994665,"20 May, 2019",160.4
West Bengal,ER,22.58039044,88.32994665,"21 May, 2019",170
West Bengal,ER,22.58039044,88.32994665,"22 May, 2019",181.2
West Bengal,ER,22.58039044,88.32994665,"23 May, 2019",178.9
West Bengal,ER,22.58039044,88.32994665,"24 May, 2019",178.9
West Bengal,ER,22.58039044,88.32994665,"25 May, 2019",177.7
West Bengal,ER,22.58039044,88.32994665,"26 May, 2019",100.4
West Bengal,ER,22.58039044,88.32994665,"27 May, 2019",114.7
West Bengal,ER,22.58039044,88.32994665,"28 May, 2019",106.4
West Bengal,ER,22.58039044,88.32994665,"29 May, 2019",107.8
West Bengal,ER,22.58039044,88.32994665,"30 May, 2019",111.8
West Bengal,ER,22.58039044,88.32994665,"31 May, 2019",117
West Bengal,ER,22.58039044,88.32994665,"02 June, 2019",125.2
West Bengal,ER,22.58039044,88.32994665,"03 June, 2019",158.2
West Bengal,ER,22.58039044,88.32994665,"04 June, 2019",159.6
West Bengal,ER,22.58039044,88.32994665,"05 June, 2019",149.6
West Bengal,ER,22.58039044,88.32994665,"06 June, 2019",124.8
West Bengal,ER,22.58039044,88.32994665,"07 June, 2019",110.6
West Bengal,ER,22.58039044,88.32994665,"08 June, 2019",116.3
West Bengal,ER,22.58039044,88.32994665,"09 June, 2019",113.9
West Bengal,ER,22.58039044,88.32994665,"10 June, 2019",120.6
West Bengal,ER,22.58039044,88.32994665,"11 June, 2019",124.5
West Bengal,ER,22.58039044,88.32994665,"12 June, 2019",125.7
West Bengal,ER,22.58039044,88.32994665,"13 June, 2019",127.2
West Bengal,ER,22.58039044,88.32994665,"14 June, 2019",124.9
West Bengal,ER,22.58039044,88.32994665,"15 June, 2019",114.8
West Bengal,ER,22.58039044,88.32994665,"16 June, 2019",112.4
West Bengal,ER,22.58039044,88.32994665,"17 June, 2019",184.1
West Bengal,ER,22.58039044,88.32994665,"18 June, 2019",193.3
West Bengal,ER,22.58039044,88.32994665,"19 June, 2019",192
West Bengal,ER,22.58039044,88.32994665,"20 June, 2019",172.7
West Bengal,ER,22.58039044,88.32994665,"21 June, 2019",184.2
West Bengal,ER,22.58039044,88.32994665,"22 June, 2019",155.6
West Bengal,ER,22.58039044,88.32994665,"23 June, 2019",154.9
West Bengal,ER,22.58039044,88.32994665,"24 June, 2019",112.2
West Bengal,ER,22.58039044,88.32994665,"25 June, 2019",122.3
West Bengal,ER,22.58039044,88.32994665,"26 June, 2019",118.8
West Bengal,ER,22.58039044,88.32994665,"27 June, 2019",118.3
West Bengal,ER,22.58039044,88.32994665,"28 June, 2019",121.4
West Bengal,ER,22.58039044,88.32994665,"29 June, 2019",119.1
West Bengal,ER,22.58039044,88.32994665,"30 June, 2019",107.5
West Bengal,ER,22.58039044,88.32994665,"01 July, 2019",151.8
West Bengal,ER,22.58039044,88.32994665,"02 July, 2019",166.7
West Bengal,ER,22.58039044,88.32994665,"03 July, 2019",180
West Bengal,ER,22.58039044,88.32994665,"04 July, 2019",184.4
West Bengal,ER,22.58039044,88.32994665,"05 July, 2019",168.6
West Bengal,ER,22.58039044,88.32994665,"06 July, 2019",161.6
West Bengal,ER,22.58039044,88.32994665,"07 July, 2019",151.5
West Bengal,ER,22.58039044,88.32994665,"08 July, 2019",118.8
West Bengal,ER,22.58039044,88.32994665,"08 July, 2019",118.4
West Bengal,ER,22.58039044,88.32994665,"09 July, 2019",82.4
West Bengal,ER,22.58039044,88.32994665,"09 July, 2019",95.1
West Bengal,ER,22.58039044,88.32994665,"10 July, 2019",99.8
West Bengal,ER,22.58039044,88.32994665,"10 July, 2019",93.3
West Bengal,ER,22.58039044,88.32994665,"11 July, 2019",97.8
West Bengal,ER,22.58039044,88.32994665,"11 July, 2019",110.8
West Bengal,ER,22.58039044,88.32994665,"12 July, 2019",111.2
West Bengal,ER,22.58039044,88.32994665,"12 July, 2019",114.1
West Bengal,ER,22.58039044,88.32994665,"13 July, 2019",112.6
West Bengal,ER,22.58039044,88.32994665,"14 July, 2019",114.2
West Bengal,ER,22.58039044,88.32994665,"15 July, 2019",113.9
West Bengal,ER,22.58039044,88.32994665,"16 July, 2019",102.9
West Bengal,ER,22.58039044,88.32994665,"17 July, 2019",129.3
West Bengal,ER,22.58039044,88.32994665,"18 July, 2019",144.4
West Bengal,ER,22.58039044,88.32994665,"19 July, 2019",148.9
West Bengal,ER,22.58039044,88.32994665,"20 July, 2019",136.7
West Bengal,ER,22.58039044,88.32994665,"21 July, 2019",136.4
West Bengal,ER,22.58039044,88.32994665,"22 July, 2019",140.5
West Bengal,ER,22.58039044,88.32994665,"23 July, 2019",137.4
West Bengal,ER,22.58039044,88.32994665,"24 July, 2019",120.4
West Bengal,ER,22.58039044,88.32994665,"25 July, 2019",127.1
West Bengal,ER,22.58039044,88.32994665,"26 July, 2019",116.3
West Bengal,ER,22.58039044,88.32994665,"27 July, 2019",137
West Bengal,ER,22.58039044,88.32994665,"28 July, 2019",139.4
West Bengal,ER,22.58039044,88.32994665,"29 July, 2019",139.5
West Bengal,ER,22.58039044,88.32994665,"30 July, 2019",131.2
West Bengal,ER,22.58039044,88.32994665,"31 July, 2019",187.7
West Bengal,ER,22.58039044,88.32994665,"01 August, 2019",176.5
West Bengal,ER,22.58039044,88.32994665,"02 August, 2019",192
West Bengal,ER,22.58039044,88.32994665,"03 August, 2019",184.5
West Bengal,ER,22.58039044,88.32994665,"04 August, 2019",175.3
West Bengal,ER,22.58039044,88.32994665,"05 August, 2019",170
West Bengal,ER,22.58039044,88.32994665,"06 August, 2019",163.8
West Bengal,ER,22.58039044,88.32994665,"08 August, 2019",149
West Bengal,ER,22.58039044,88.32994665,"09 August, 2019",157.7
West Bengal,ER,22.58039044,88.32994665,"10 August, 2019",148.2
West Bengal,ER,22.58039044,88.32994665,"11 August, 2019",75.1
West Bengal,ER,22.58039044,88.32994665,"12 August, 2019",51.5
West Bengal,ER,22.58039044,88.32994665,"13 August, 2019",78.3
West Bengal,ER,22.58039044,88.32994665,"14 August, 2019",102.9
West Bengal,ER,22.58039044,88.32994665,"15 August, 2019",121
West Bengal,ER,22.58039044,88.32994665,"16 August, 2019",125.4
West Bengal,ER,22.58039044,88.32994665,"17 August, 2019",124.2
West Bengal,ER,22.58039044,88.32994665,"18 August, 2019",124.8
West Bengal,ER,22.58039044,88.32994665,"19 August, 2019",130
West Bengal,ER,22.58039044,88.32994665,"20 August, 2019",124.9
West Bengal,ER,22.58039044,88.32994665,"21 August, 2019",113.2
West Bengal,ER,22.58039044,88.32994665,"22 August, 2019",109.9
West Bengal,ER,22.58039044,88.32994665,"23 August, 2019",112.9
West Bengal,ER,22.58039044,88.32994665,"24 August, 2019",111.2
West Bengal,ER,22.58039044,88.32994665,"25 August, 2019",112.4
West Bengal,ER,22.58039044,88.32994665,"26 August, 2019",109.4
West Bengal,ER,22.58039044,88.32994665,"27 August, 2019",112.6
West Bengal,ER,22.58039044,88.32994665,"28 August, 2019",104.1
West Bengal,ER,22.58039044,88.32994665,"29 August, 2019",175.3
West Bengal,ER,22.58039044,88.32994665,"30 August, 2019",174.9
West Bengal,ER,22.58039044,88.32994665,"31 August, 2019",164.1
West Bengal,ER,22.58039044,88.32994665,"01 September, 2019",172.8
West Bengal,ER,22.58039044,88.32994665,"02 September, 2019",183.4
West Bengal,ER,22.58039044,88.32994665,"03 September, 2019",176.2
West Bengal,ER,22.58039044,88.32994665,"04 September, 2019",162.8
West Bengal,ER,22.58039044,88.32994665,"05 September, 2019",129
West Bengal,ER,22.58039044,88.32994665,"06 September, 2019",142
West Bengal,ER,22.58039044,88.32994665,"08 September, 2019",142.2
West Bengal,ER,22.58039044,88.32994665,"09 September, 2019",141.3
West Bengal,ER,22.58039044,88.32994665,"10 September, 2019",140.2
West Bengal,ER,22.58039044,88.32994665,"11 September, 2019",135.2
West Bengal,ER,22.58039044,88.32994665,"12 September, 2019",181.7
West Bengal,ER,22.58039044,88.32994665,"13 September, 2019",180.8
West Bengal,ER,22.58039044,88.32994665,"14 September, 2019",183.8
West Bengal,ER,22.58039044,88.32994665,"15 September, 2019",194.7
West Bengal,ER,22.58039044,88.32994665,"16 September, 2019",188.9
West Bengal,ER,22.58039044,88.32994665,"17 September, 2019",190
West Bengal,ER,22.58039044,88.32994665,"18 September, 2019",182.7
West Bengal,ER,22.58039044,88.32994665,"19 September, 2019",171.1
West Bengal,ER,22.58039044,88.32994665,"20 September, 2019",178
West Bengal,ER,22.58039044,88.32994665,"21 September, 2019",162.6
West Bengal,ER,22.58039044,88.32994665,"22 September, 2019",170.5
West Bengal,ER,22.58039044,88.32994665,"23 September, 2019",166
West Bengal,ER,22.58039044,88.32994665,"24 September, 2019",164.3
West Bengal,ER,22.58039044,88.32994665,"25 September, 2019",155
West Bengal,ER,22.58039044,88.32994665,"26 September, 2019",141.5
West Bengal,ER,22.58039044,88.32994665,"27 September, 2019",148.2
West Bengal,ER,22.58039044,88.32994665,"28 September, 2019",141.6
West Bengal,ER,22.58039044,88.32994665,"29 September, 2019",154.3
West Bengal,ER,22.58039044,88.32994665,"30 September, 2019",161.1
West Bengal,ER,22.58039044,88.32994665,"01 October, 2019",164.8
West Bengal,ER,22.58039044,88.32994665,"02 October, 2019",156.5
West Bengal,ER,22.58039044,88.32994665,"03 October, 2019",114.3
West Bengal,ER,22.58039044,88.32994665,"04 October, 2019",116.8
West Bengal,ER,22.58039044,88.32994665,"05 October, 2019",121.4
West Bengal,ER,22.58039044,88.32994665,"06 October, 2019",117.2
West Bengal,ER,22.58039044,88.32994665,"08 October, 2019",121.5
West Bengal,ER,22.58039044,88.32994665,"09 October, 2019",122.6
West Bengal,ER,22.58039044,88.32994665,"10 October, 2019",111
West Bengal,ER,22.58039044,88.32994665,"11 October, 2019",174.5
West Bengal,ER,22.58039044,88.32994665,"12 October, 2019",157.1
West Bengal,ER,22.58039044,88.32994665,"13 October, 2019",166.7
West Bengal,ER,22.58039044,88.32994665,"14 October, 2019",184.1
West Bengal,ER,22.58039044,88.32994665,"15 October, 2019",192.9
West Bengal,ER,22.58039044,88.32994665,"16 October, 2019",192.9
West Bengal,ER,22.58039044,88.32994665,"17 October, 2019",172
West Bengal,ER,22.58039044,88.32994665,"18 October, 2019",110.9
West Bengal,ER,22.58039044,88.32994665,"19 October, 2019",113.8
West Bengal,ER,22.58039044,88.32994665,"20 October, 2019",111.2
